             Heights (in meters) of the sensors at non-NDBC stations

STATION        SITE    ATMP   ANEMOMETER  TIDE  BAROMETER   WTMP    WATER   WATCH
45149          177      NA       5        NA       NA       NA       58       NA      
45150          156      NA       NA       NA       NA       NA       46       NA      
45151          219      NA       5        NA       NA       NA       22       NA      
45152          196      NA       5        NA       NA       NA       15       NA      
45154          177      NA       5        NA       NA       NA       31       NA      
45155          75       NA       5        NA       NA       NA       55       NA      
45158          NA       NA       NA       NA       NA       NA       40       NA      
45159          75       NA       5        NA       NA       NA       54       NA      
45160          NA       NA       NA       NA       NA       NA       NA       NA      
45161          176      2.3      2.3      NA       NA       1        22.5     NA      
45162          176      2.3      2.3      NA       NA       1        20       NA      
45163          176      2.3      2.3      NA       NA       1        13.4     NA      
45164          174.2    2.3      1        NA       NA       1        22.6     NA      
45165          174      2        2        NA       NA       1        8        NA      
45166          30       2        2.5      NA       NA       1        38.1     NA      
45167          173.9    2        2        NA       175      1        NA       NA      
45168          177      3        3        NA       NA       1        20.4     NA      
45169          174      2.75     2.75     NA       176.75   0.7      18       NA      
45170          177      2        2.5      NA       NA       1        19       NA      
45171          183      0.82     0.82     NA       178.82   0.7      27       NA      
45172          183      0.82     0.82     NA       178.82   0.7      36       NA      
45173          178      2.75     2        NA       180.75   1        40       NA      
45174          176      3        3        NA       3        1        NA       NA      
45175          176      2.64     2.95     NA       178.64   1        NA       NA      
45176          174      3        3        NA       3        1        16.6     NA      
45177          176      NA       NA       NA       NA       1        NA       NA      
45178          30       1        1        NA       1        1        NA       NA      
45179          178      0.6      0.6      NA       178.6    0.7      20       NA      
45180          0        NA       NA       NA       NA       0.46     262      NA      
45183          176      2        2        NA       178      1        NA       NA      
45186          176      1        1.5      NA       NA       1        NA       NA      
45187          176      1        1.5      NA       NA       1        NA       NA      
46004          0        NA       5        NA       NA       NA       3600     NA      
46036          0        NA       NA       NA       NA       NA       3500     NA      
46044          0        4        5        NA       0        -1       1800     1386    
46091          0        3.5      4        NA       3.25     -0.6     NA       NA      
46092          0        3        4        NA       3.25     0.6      1000     NA      
46093          0        3        4        NA       3.25     -0.6     NA       NA      
46094          0        3        3        NA       3        1.7      81       NA      
46096          0        3        3        NA       3        1        NA       NA      
46097          0        4        4.5      NA       3.95     1.15     NA       NA      
46098          0        4        4.5      NA       3.95     1.15     NA       NA      
46099          0        4        4.5      NA       3.95     1.15     NA       NA      
46100          0        4        4.5      NA       3.95     1.15     NA       NA      
46108          0        NA       NA       NA       NA       0.46     32.9     NA      
46109          NA       NA       2.1336   NA       NA       NA       NA       NA      
46110          NA       NA       2.1336   NA       NA       NA       NA       NA      
46111          NA       NA       2.74321  NA       NA       NA       NA       NA      
46112          NA       NA       2.74321  NA       NA       NA       NA       NA      
46113          NA       NA       1.524    NA       NA       NA       NA       NA      
46114          0        NA       NA       NA       NA       0.46     1463     3186    
46116          0        NA       NA       NA       NA       1        NA       NA      
46118          0        2        2.97     NA       2        -0.5     NA       NA      
46119          0        3.7      3.7      NA       NA       -1       NA       NA      
46120          0        2.1      2.1      NA       1        3        100      NA      
46121          0        2.1      2.1      NA       1        3        47       NA      
46122          0        2.1      2.1      NA       1        3        100      NA      
46123          0        2.1      2.1      NA       1        3        35       NA      
46124          0        2.1      2.1      NA       1        3        120      NA      
46125          0        2.1      2.1      NA       1        3        100      NA      
